threshold,p,p',n/p ratio,upper limit for train/val accuracy,accuracy'
0,1124931,0,6.899855191118388,0.0,0.0
1,259767,865164,29.880088694868864,0.11146360389602442,0.11146360389602442
2,145266,114501,53.43205567717153,0.14096709539116972,0.029503491495145306
3,101228,44038,76.67701624056585,0.1579880134416218,0.017020918050452083
4,77236,23992,100.495377803097,0.17035205861068628,0.012364045169064475
5,61748,15488,125.70222517328496,0.18032904737665362,0.009976988765967337
6,50455,11293,153.8373005648598,0.1890586548767106,0.008729607500056996
7,41906,8549,185.22075597766428,0.19676853270111383,0.007709877824403216
8,35364,6542,219.48481506616898,0.2035112455634029,0.0067427128622890575
9,30289,5075,256.2600614084321,0.20939578794312344,0.005884542379720553
10,26346,3943,294.61250284673196,0.21447575523447276,0.005079967291349324
11,23123,3223,335.6770747740345,0.2190433454038922,0.004567590169419433
12,20592,2531,376.93575174825173,0.2229563245206272,0.003912979116734994
13,18327,2265,423.52054346046816,0.22674987351615805,0.00379354899553086
14,16597,1730,467.66650599505937,0.22987025920716694,0.0031203856910088923
15,15051,1546,515.7040063783137,0.23285794476350452,0.002987685556337577
16,13764,1287,563.9248038360942,0.23551091677627312,0.002652972012768595
17,12738,1026,609.3469147432878,0.23775805828009547,0.002247141503822353
18,11811,927,657.1722123444247,0.2399078004617707,0.0021497421816752404
19,10975,836,707.2310706150341,0.24195421690751742,0.0020464164457467127
20,10269,706,755.8536371603856,0.24377336826825421,0.0018191513607367926
21,9649,620,804.4212871800187,0.24545080103856537,0.0016774327703111547
22,9065,584,856.2450082735797,0.2471060741747372,0.0016552731361718365
23,8528,537,910.1619371482176,0.24869731627505312,0.001591242100315915
24,8069,459,961.9359276242409,0.2501165635406251,0.0014192472655719934
25,7661,408,1013.1655136405169,0.2514306813791177,0.0013141178384926122
26,7305,356,1062.5408624229979,0.2526231789000086,0.0011924975208909006
27,6966,339,1114.249354005168,0.25380240640743246,0.00117922750742383
28,6647,319,1167.7239356100497,0.2549531613616889,0.0011507549542564277
29,6345,302,1223.3035460992908,0.2560814990116417,0.001128337649952793
30,6069,276,1278.935739001483,0.25714825349230036,0.0010667544806586826
31,5819,250,1333.8822821790686,0.2581467253793903,0.0009984718870899578
32,5582,237,1390.5161232533142,0.25912381064283424,0.000977085263443922
33,5363,219,1447.298340481074,0.2600549017819309,0.0009310911390966736
34,5154,209,1505.987776484284,0.2609704038760807,0.0009155020941498115
35,4966,188,1563.000604107934,0.26181813871699067,0.0008477348409099417
36,4790,176,1620.4302713987474,0.26263443779784257,0.0008162990808519011
37,4613,177,1682.6058963797961,0.2634781787512041,0.0008437409533615381
38,4466,147,1737.9894760412,0.26419785152040215,0.0007196727691980431
39,4343,123,1787.211835137002,0.2648158734097403,0.0006180218893381273
40,4193,150,1851.1473885046505,0.2655888839029712,0.000773010493230919
41,4074,119,1905.218703976436,0.2662174702690502,0.000628586366078987
42,3947,127,1966.5216620217886,0.2669046765975325,0.0006872063284822927
43,3818,129,2032.9651650078574,0.26761932479852446,0.0007146482009919852
44,3706,112,2094.4039395574746,0.2682542240836315,0.0006348992851070157
45,3618,88,2145.3457711442784,0.26876441100916393,0.000510186925532452
46,3512,106,2210.0970956719816,0.2693926108699963,0.0006281998608323458
47,3409,103,2276.87327662071,0.2700163015029514,0.0006236906329551428
48,3325,84,2334.3942857142856,0.2705357645544026,0.0005194630514511744
49,3241,84,2394.896945387226,0.27106604975275905,0.0005302851983564616
